Date,Open,High,Low,Close,Adj Close,Volume,Day
2016-09-15,120.68,122.190002,120.510002,122.040001,111.544411,29499800,751
2016-09-16,122.040001,122.040001,121.099998,121.860001,111.379875,31940500,752
2016-09-19,122.32,123.550003,121.989998,122.669998,112.120239,22807000,753
2016-09-20,123.199997,123.230003,122.150002,122.150002,111.644913,16877900,754
2016-09-21,122.580002,123.970001,122.099998,123.919998,113.262703,30784700,755
2016-09-22,124.730003,125.800003,124.660004,125.699997,114.889618,36287700,756
2016-09-23,125.559998,125.879997,124.809998,124.809998,114.076164,26118000,757
2016-09-26,123.800003,124.169998,123.099998,123.230003,112.943344,20028000,758
2016-09-27,123.169998,123.879997,122.809998,123.730003,113.401596,16939500,759
2016-09-28,123.949997,124.760002,123.07,124.68,114.272308,19426400,760
2016-09-29,124.620003,124.639999,122.699997,122.860001,112.60424,26657700,761
2016-09-30,123.419998,124.779999,122.860001,124.209999,113.841522,31764500,762
2016-10-03,123.830002,124.099998,123.129997,123.82,113.4841,18674300,763
2016-10-04,124.019997,124.309998,122.650002,123.209999,112.925011,26057300,764
2016-10-05,123.690002,124.68,123.650002,123.949997,113.603249,24317300,765
2016-10-06,123.75,124.019997,122.82,123.82,113.4841,18937100,766
2016-10-07,124.040001,124.32,122.230003,122.830002,112.576752,28732700,767
2016-10-10,122.830002,124.739998,122.830002,124.300003,113.924019,21481700,768
2016-10-11,124.050003,124.110001,121.339996,122.029999,111.843513,31931300,769
2016-10-12,122.089996,122.610001,121.529999,121.93,111.751877,20210400,770
2016-10-13,120.989998,121.410004,120.110001,120.919998,110.826172,26302500,771
2016-10-14,121.360001,121.839996,120.400002,120.43,110.377083,24554600,772
2016-10-17,120.580002,120.849998,120.160004,120.290001,110.248756,17119500,773
2016-10-18,121.519997,121.580002,120.660004,120.980003,110.881165,19158900,774
2016-10-19,121.169998,121.949997,120.5,121.489998,111.348579,18477400,775
2016-10-20,121.139999,122,120.410004,121.129997,111.018631,20485600,776
2016-10-21,120.260002,121.370003,120.099998,121.07,110.963661,21093700,777
2016-10-24,122.040001,122.610001,121.449997,121.839996,111.66938,15421600,778
2016-10-25,121.809998,121.989998,120.599998,120.93,110.835335,16459800,779
2016-10-26,120.110001,121,119.459999,119.730003,109.735504,24975300,780
2016-10-27,120.120003,120.139999,118.089996,118.360001,108.479881,29525700,781
2016-10-28,118.309998,119.029999,117.75,118.029999,108.177422,35473700,782
2016-10-31,118.18,118.639999,117.800003,118.5,108.6082,20311800,783
2016-11-01,118.660004,118.699997,116.279999,117.050003,107.279228,34147200,784
2016-11-02,116.870003,117,115.389999,115.559998,105.913589,29859900,785
2016-11-03,115.910004,116.239998,114.879997,115,105.400322,22717500,786
2016-11-04,115.300003,116.900002,115.050003,115.739998,106.078568,35237200,787
2016-11-07,118,118.82,117.709999,118.57,108.672325,32370900,788
2016-11-08,118.300003,119.459999,117.709999,118.879997,108.956467,26196800,789
2016-11-09,118.080002,122.830002,118.050003,122.540001,112.310928,77416800,790
2016-11-10,124.260002,125.400002,122.620003,124.5,114.10733,83440700,791
2016-11-11,125.029999,127.720001,124.550003,127.360001,116.728607,95612800,792
2016-11-14,128.949997,130.259995,128.389999,129.149994,118.369164,83119400,793
2016-11-15,128.850006,129.889999,128.300003,129.550003,118.735786,38704500,794
2016-11-16,129.25,130,129.029999,129.539993,118.726624,42325500,795
2016-11-17,129.949997,130.830002,129.75,130.300003,119.423187,42576900,796
2016-11-18,130.690002,131.089996,130.300003,130.990005,120.05558,41380600,797
2016-11-21,131.309998,132,130.610001,131.600006,120.614662,32293100,798
2016-11-22,132.119995,132.899994,131.669998,132.800003,121.714485,39681500,799
2016-11-23,132.479996,133.649994,132.100006,133.630005,122.475212,37939200,800
2016-11-25,133.729996,134.100006,133.539993,134.070007,122.878502,13373400,801
2016-11-28,133.970001,134,132.149994,132.330002,121.283722,32505700,802
2016-11-29,132.509995,133.089996,132.100006,132.259995,121.219604,27993700,803
2016-11-30,132.919998,133.089996,131.5,131.610001,120.623802,32491200,804
2016-12-01,132.25,132.550003,130.289993,130.970001,120.037224,39815900,805
2016-12-02,130.940002,131.470001,130.520004,130.899994,119.973091,24054100,806
2016-12-05,131.970001,133.330002,131.889999,133.149994,122.035248,27547100,807
2016-12-06,133.520004,134.910004,132.740005,134.589996,123.355042,27820000,808
2016-12-07,134.589996,136.179993,134.179993,135.899994,124.55571,31825800,809
2016-12-08,136.25,138.210007,135.800003,138.039993,126.517097,49048900,810
2016-12-09,138.399994,138.820007,137.75,138.309998,126.764534,34313500,811
2016-12-12,137.949997,138.570007,136.509995,136.850006,125.426414,34592900,812
2016-12-13,137.529999,138.050003,136.240005,136.860001,125.435547,32624600,813
2016-12-14,136.419998,137.350006,134.809998,135.149994,123.868294,45923700,814
2016-12-15,135.369995,137.139999,134.960007,136.160004,124.793976,41352500,815
2016-12-16,136.350006,137.529999,135.630005,135.910004,124.564926,39348200,816
2016-12-19,136.039993,137.190002,135.910004,136.800003,125.380562,33393900,817
2016-12-20,137.279999,138.210007,136.990005,137.960007,126.443787,31753600,818
2016-12-21,137.850006,138.149994,137.009995,137.059998,125.618896,23215900,819
2016-12-22,136.559998,136.75,134.809998,135.320007,124.535698,34737900,820
2016-12-23,135.460007,136.119995,135.270004,136.039993,125.198303,17081400,821
2016-12-27,136.229996,137.300003,136.210007,136.649994,125.759674,13571700,822
2016-12-28,136.889999,136.979996,134.830002,135.25,124.471222,22712400,823
